PopName,glottocodeBase,samplePopID,geographicRegion,publication,country,lat,lon,glottolog.node1,LangFamily,isolate,LowSampleSize,LowQualitySNP,proxyHeggartyTree,LangNameHeggartyTree
Abazin,abaz1241,Karachaevo-Cherkessia_Republic__Prikubansky_district,EURASIA,Jeong_2019,Russia,44.15,42.2,abkh1242,Abkhaz-Adyge,Family,NO,NO,0,0
Abkhasian,abkh1244,NA,EURASIA,LazaridisNature2014,Abkhazia,43.003333,41.015278,abkh1242,Abkhaz-Adyge,Family,NO,NO,0,0
Adygei,adyg1241,21,EURASIA,PattersonGenetics2012,Russia(Caucasus),44,39,abkh1242,Abkhaz-Adyge,Family,NO,NO,0,0
Adygei_Abadzhekh,abad1240,Adyghei_Republic__Shovgenovsky_district,EURASIA,Jeong_2019,Russia,45.01,40.22,abkh1242,Abkhaz-Adyge,Family,YES,NO,0,0
Adygei_Bzhedug,bezh1247,Adyghei_Republic__Takhtamukayski_district,EURASIA,Jeong_2019,Russia,44.89,39.24,abkh1242,Abkhaz-Adyge,Family,YES,NO,0,0
Adygei_Mamkheg,adyg1241,Adyghei_Republic__Shovgenovsky_district__Mamkheg_village,EURASIA,Jeong_2019,Russia,45,40.22,abkh1242,Abkhaz-Adyge,Family,YES,NO,0,0
Adygei_Shapsug_Black_Sea,shap1240,Krasnodar_region__Lazarevsky_and_Tuapsinsky_districts,EURASIA,Jeong_2019,Russia,44.15,39.12,abkh1242,Abkhaz-Adyge,Family,YES,NO,0,0
Adygei_Shapsug_Kuban,shap1240,Adyghei_Republic,EURASIA,Jeong_2019,Russia,45,38.75,abkh1242,Abkhaz-Adyge,Family,YES,NO,0,0
Araba,aval1237,NA,EURASIA,FloresBelloBasque2021,Spain,42.8592,-2.6818,basq1248,Basque,Isolate,NO,NO,0,0
Albanian,alba1267,NA,EURASIA,LazaridisNature2014,Albania,41.33,19.83,indo1319,Indo-European,Family,NO,NO,alba1267,AlbanianStandard
Armenian,nucl1235,NA,EURASIA,LazaridisNature2014,Armenia,40.193561,44.545441,indo1319,Indo-European,Family,NO,NO,nucl1235,ArmenianEastern
Armenian_Hemsheni,hams1240,Adyghei_Republic__Maykop__p.Proletarsky,EURASIA,Jeong_2019,Russia,41,39.7,indo1319,Indo-European,Family,NO,NO,nucl1235,ArmenianEastern
Armenian_WGA,nucl1235,NA,EURASIA,LazaridisNature2014,Armenia,40.2,44.5,indo1319,Indo-European,Family,YES,NO,nucl1235,ArmenianEastern
Ashkenazi_Jew,east2295,NA,EURASIA,LazaridisNature2014,Poland,52.23333333,21.01666667,indo1319,Indo-European,Family,NO,NO,0,0
Assyrian_WGA,assy1241,NA,EURASIA,LazaridisNature2014,Armenia,40.3,44.6,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Avar_Gunibsky,avar1256,Dagestan_Republic__Gunibsky_district,EURASIA,Jeong_2019,Russia,41.22,48.3,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Avar_Unchukulsky,avar1256,Dagestan_Republic__Unchukulsky_district,EURASIA,Jeong_2019,Russia,42.41,46.43,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Azeri_Azerbajan,nort2697,Azerbajan,EURASIA,Jeong_2019,Azerbaijan,40.06,47.19,turk1311,Turkic,Family,NO,NO,0,0
Azeri_Dagestan,nort2697,Dagestan_Republic,EURASIA,Jeong_2019,Russia,42.2,48.23,turk1311,Turkic,Family,NO,NO,0,0
Balkar,kara1465,NA,EURASIA,LazaridisNature2014,Russia,43.483333,43.616667,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_Burzjan_Baimaksky,burz1239,Bashkiria_Republic__Baimaksky_district,EURASIA,Jeong_2019,Russia,52.58,58.32,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_IkskoBelsky_Kyrgyz,bash1264,Bashkiria_Republic__Ilishevsky_district,EURASIA,Jeong_2019,Russia,55.43,54.32,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_IkskoBelsky_Uran,bash1264,Bashkiria_Republic__Ianaul,EURASIA,Jeong_2019,Russia,56.27,54.08,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_Ming_Miyakinsky,bash1264,Bashkiria_Republic__Davlekanovo,EURASIA,Jeong_2019,Russia,54.9,55.03,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_North_Tabyn_Balysky,bash1264,Bashkiria_Republic__Arkhangelsk_district,EURASIA,Jeong_2019,Russia,54.52,56.93,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_North_Unlar,bash1264,Bashkiria_Republic__Karaidelsky_district,EURASIA,Jeong_2019,Russia,55.87,56.73,turk1311,Turkic,Family,YES,NO,0,0
Bashkir_Tamyan_Kypcak,bash1264,Bashkiria_Republic__Kugarchinsky_district,EURASIA,Jeong_2019,Russia,52.67,56.55,turk1311,Turkic,Family,NO,NO,0,0
Bashkir_Yurmaty,yurm1239,Bashkiria_Republic__Ishimbai,EURASIA,Jeong_2019,Russia,53.45,56.03,turk1311,Turkic,Family,YES,NO,0,0
Basque,basq1248,24,EURASIA,PattersonGenetics2012,France,43,0,basq1248,Basque,Isolate,NO,NO,0,0
Bizkaia,bisc1236,NA,EURASIA,FloresBelloBasque2021,Spain,43.263,-2.935,basq1248,Basque,Isolate,NO,NO,0,0
Bearn,stan1290,NA,EURASIA,FloresBelloBasque2021,France,43.5547,-0.1576,indo1319,Indo-European,Family,NO,NO,stan1290,French
BedouinA,east2690,NA,EURASIA,PattersonGenetics2012,Israel,31,35,afro1255,Afro-Asiatic,Family,NO,NO,0,0
BedouinB,east2690,NA,EURASIA,PattersonGenetics2012,Israel,31,35,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Belarusian,bela1254,NA,EURASIA,LazaridisNature2014,Belarus,53.9198542,28.0119322,indo1319,Indo-European,Family,NO,NO,bela1254,Belarusian
Besermyan,bese1243,Udmurtia_Republic__Yukamensky_district,EURASIA,Jeong_2019,Russia,58.01,52.09,ural1272,Uralic,Family,NO,NO,0,0
Bigorre,stan1290,NA,EURASIA,FloresBelloBasque2021,France,43.1256,0.3164,indo1319,Indo-European,Family,NO,NO,stan1290,French
WesternBizkaia,stan1288,NA,EURASIA,FloresBelloBasque2021,Spain,43.242,-3.1853,indo1319,Indo-European,Family,NO,NO,stan1288,Spanish
Bulgarian,bulg1262,NA,EURASIA,LazaridisNature2014,Bulgaria,42.163403,24.741211,indo1319,Indo-European,Family,NO,NO,bulg1262,Bulgarian
Burgos,stan1288,NA,EURASIA,FloresBelloBasque2021,Spain,42.344,-3.6969,indo1319,Indo-European,Family,NO,NO,stan1288,Spanish
Cantabria,stan1288,NA,EURASIA,FloresBelloBasque2021,Spain,43.1828,-3.9878,indo1319,Indo-European,Family,NO,NO,stan1288,Spanish
Chalosse,stan1290,NA,EURASIA,FloresBelloBasque2021,France,43.7011,-1.0118,indo1319,Indo-European,Family,NO,NO,stan1290,French
Chechen,chec1245,NA,EURASIA,LazaridisNature2014,Russia,43.333333,45.65,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Chuvash,chuv1255,NA,EURASIA,LazaridisNature2014,Russia,56.110278,47.251111,turk1311,Turkic,Family,NO,NO,0,0
Chuvash_Tatarstan,chuv1255,Tatarstan_Republic__Apastovsky__Drozhzhanovsky__Kaibitsky_districts,EURASIA,Jeong_2019,Russia,54.75,47.78,turk1311,Turkic,Family,NO,NO,0,0
Circassian,circ1239,Karachaevo-Cherkessia_Republic,EURASIA,Jeong_2019,Russia,44.2,41.83,abkh1242,Abkhaz-Adyge,Family,NO,NO,0,0
Croatian,croa1245,NA,EURASIA,LazaridisNature2014,Croatia,43.513,16.446,indo1319,Indo-European,Family,NO,NO,croa1245,SerboCroatian
Cypriot,cypr1248,NA,EURASIA,LazaridisNature2014,Cyprus,35.13,33.43,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Czech,czec1258,NA,EURASIA,LazaridisNature2014,Czechoslovia(pre1989),50.1,14.4,indo1319,Indo-European,Family,NO,NO,czec1258,Czech
Darginian,darg1241,Dagestan_Republic,EURASIA,Jeong_2019,Russia,42.18,47.22,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Druze,sout3123,37,EURASIA,PattersonGenetics2012,Israel,32,35,afro1255,Afro-Asiatic,Family,NO,NO,0,0
English_Cornwall,stan1293,NA,EURASIA,LazaridisNature2014,GreatBritain,50.03,-4.9,indo1319,Indo-European,Family,NO,NO,stan1293,English
English_Kent,stan1293,NA,EURASIA,LazaridisNature2014,GreatBritain,51.19,0.73,indo1319,Indo-European,Family,NO,NO,stan1293,English
Estonian,esto1258,NA,EURASIA,LazaridisNature2014,Estonia,58.5390393,24.8892515,ural1272,Uralic,Family,NO,NO,0,0
Ezid,nort2641,Armavir_and_Aragatsotn_regions,EURASIA,Jeong_2019,Armenia,36.9,46.6,indo1319,Indo-European,Family,NO,NO,nort2641,KurdishNBahdini
Finnish,finn1318,NA,EURASIA,LazaridisNature2014,Finland,60.2,24.9,ural1272,Uralic,Family,NO,NO,0,0
French_Central,stan1290,25,EURASIA,PattersonGenetics2012,France,46,2,indo1319,Indo-European,Family,NO,NO,stan1290,French
French_East,stan1290,NA,EURASIA,LazaridisNature2014,France,49.0469805,6.61545411,indo1319,Indo-European,Family,NO,NO,stan1290,French
French_Northwest,stan1290,NA,EURASIA,LazaridisNature2014,France,50.46199264,2.332995724,indo1319,Indo-European,Family,NO,NO,stan1290,French
